	0	1
2	0.478413068845	0.154414436236
10	1.28938156359	0.505631585322
20	2.53208868145	0.977958096161
30	2.48541423571	1.57744943684
40	2.17036172695	1.11723386218
50	2.71295215869	1.38064672399
60	3.11551925321	1.48661741553
71	1.84364060677	0.859876468451
73	31.0093348891	26.6622259901
81	19.5682613769	15.9834080174
91	4.04900816803	4.97153929999
92	4.97082847141	5.54680876832
111	15.8226371062	22.9502240523
123	5.66511085181	10.9573695047
124	1.00933488915	2.25868959671
125	1.27771295216	2.60990674579
